File,Line,Index,Context
wiki\1958_Wightman_Cup.html,96,528,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,96,551,"th=""1200"" data-file-h"
wiki\1958_Wightman_Cup.html,97,515,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,97,538,"th=""1235"" data-file-h"
wiki\1958_Wightman_Cup.html,109,528,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,109,551,"th=""1200"" data-file-h"
wiki\1958_Wightman_Cup.html,110,515,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,110,538,"th=""1235"" data-file-h"
wiki\1958_Wightman_Cup.html,123,528,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,123,551,"th=""1200"" data-file-h"
wiki\1958_Wightman_Cup.html,124,515,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,124,538,"th=""1235"" data-file-h"
wiki\1958_Wightman_Cup.html,137,528,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,137,551,"th=""1200"" data-file-h"
wiki\1958_Wightman_Cup.html,138,515,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,138,538,"th=""1235"" data-file-h"
wiki\1958_Wightman_Cup.html,150,528,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,150,551,"th=""1200"" data-file-h"
wiki\1958_Wightman_Cup.html,151,515,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,151,538,"th=""1235"" data-file-h"
wiki\1958_Wightman_Cup.html,196,460,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,196,483,"th=""1200"" data-file-h"
wiki\1958_Wightman_Cup.html,197,454,"g.png 2x"" data-file-w"
wiki\1958_Wightman_Cup.html,197,477,"th=""1235"" data-file-h"
wiki\1958_Wightman_Cup.html,366,40,"inks"" data-mw=""interf"
wiki\1958_Wightman_Cup.html,449,1019,wikidata.org/wiki/Q45
wiki\1958_Wightman_Cup.html,449,1068,ted data repository i
wiki\1958_Wightman_Cup.html,449,1112,Wikidata item</a></li
wiki\1958_Wightman_Cup.html,466,124,w.wikidata.org/wiki/Q
wiki\1988_State_of_Origin_series.html,49,464,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,49,486,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,65,464,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,65,486,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,69,464,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,69,486,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,117,500,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,117,522,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,119,539,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,119,561,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,158,500,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,158,522,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,160,539,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,160,561,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,195,500,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,195,522,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,197,539,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,197,561,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,241,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,241,482,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,242,452,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,242,474,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,246,476,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,246,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,247,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,247,482,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,251,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,251,482,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,255,524,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,255,546,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,259,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,259,482,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,263,524,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,263,546,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,264,476,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,264,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,265,524,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,265,546,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,269,476,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,269,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,270,524,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,270,546,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,274,492,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,274,514,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,275,524,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,275,546,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,276,492,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,276,514,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,280,452,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,280,474,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,281,452,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,281,474,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,285,452,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,285,474,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,289,524,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,289,546,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,290,452,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,290,474,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,294,476,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,294,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,298,452,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,298,474,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,299,476,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,299,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,303,476,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,303,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,304,524,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,304,546,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,305,492,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,305,514,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,309,516,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,309,538,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,310,476,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,310,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,311,524,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,311,546,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,315,516,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,315,538,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,331,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,331,482,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,335,452,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,335,474,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,339,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,339,482,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,340,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,340,482,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,344,476,"g.png 2x"" data-file-w"
