File,Line,Index,Context
wiki\C389cole_des_Mines_de_Douai.html,1142,199,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1142,250,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1145,98,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1145,149,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1158,0,Science of 
wiki\C389cole_des_Mines_de_Douai.html,1164,268,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1164,319,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1166,97,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1166,148,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1168,99,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1168,150,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1169,113,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1169,164,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1170,98,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1170,149,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1171,112,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1171,163,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1172,110,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1172,161,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1174,107,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1174,158,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1175,82,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1175,133,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1178,104,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1178,155,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1180,89,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1180,140,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1185,73,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1185,124,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1186,116,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1186,167,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1188,45, et de Géosciences (L
wiki\C389cole_des_Mines_de_Douai.html,1188,96,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1188,147,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1189,104,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1189,155,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1190,118,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1190,169,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1191,117,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1191,168,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1225,85,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1225,136,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1229,19,52 - Neurosciences et
wiki\C389cole_des_Mines_de_Douai.html,1229,91,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1229,142,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1230,82,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1230,133,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1244,86,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1244,137,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1248,92,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1248,143,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1250,25,60 - Neuroscience fon
wiki\C389cole_des_Mines_de_Douai.html,1252,99,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1252,150,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1270,85,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1270,136,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1272,67,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1272,118,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1273,21,"économie, sciences de"
wiki\C389cole_des_Mines_de_Douai.html,1275,20,"économie, sciences de"
wiki\C389cole_des_Mines_de_Douai.html,1277,14,LEM-FUPL (sciences de
wiki\C389cole_des_Mines_de_Douai.html,1277,81,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1277,132,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1279,79,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1279,130,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1280,90,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1280,141,ersity of Science and
